항목명,코드,코드의미 및 단위
직업선택요인_1순위코드,8,잘 모르겠다
직업선택요인_2순위코드,,직업 선택 요인[1순위] 코드 참조
직업선택요인_3순위코드,,직업 선택 요인[1순위] 코드 참조
청년선호직장코드,1,국가기관
청년선호직장코드,2,"공기업(공사, 공단)"
청년선호직장코드,3,대기업
청년선호직장코드,4,벤처기업
청년선호직장코드,5,외국계 기업
청년선호직장코드,6,전문직 기업(법률 회사 등)
청년선호직장코드,7,중소기업(벤저기업 제외)
청년선호직장코드,8,해외 취업
청년선호직장코드,9,자영업(창업 등)
청년선호직장코드,10,기타(     )
여성취업견해코드,1,직업을 가지는 것이 좋다
여성취업견해코드,2,취업보다 가정 일에 전념하는 것이 더 중요하다
여성취업견해코드,3,잘 모르겠다
여성취업시기코드,1,결혼 전까지만
여성취업시기코드,2,첫 자녀 출산 전까지만
여성취업시기코드,3,자녀가 성장한 후
여성취업시기코드,4,출산 전과 자녀 성장 후
여성취업시기코드,5,가정 일에 관계없이 계속 취업
여성취업장애요인_1순위코드,1,여성에 대한 사회적 편견 및 차별적 관행
여성취업장애요인_1순위코드,2,여성의 직업의식 및 책임감 부족
여성취업장애요인_1순위코드,3,"불평등한 근로 여건(채용, 임금 등)"
여성취업장애요인_1순위코드,4,일에 대한 여성의 능력 부족
여성취업장애요인_1순위코드,5,구인 정보 부족
여성취업장애요인_1순위코드,6,육아 부담
여성취업장애요인_1순위코드,7,가족 돌봄(육아 제외)
여성취업장애요인_1순위코드,8,가사 부담
여성취업장애요인_1순위코드,9,기타(    )
여성취업장애요인_1순위코드,10,잘 모르겠다
여성취업장애요인_2순위코드,,여성 취업 장애 요인[1순위] 코드 참조
여성취업장애요인_3순위코드,,여성 취업 장애 요인[1순위] 코드 참조
지난1주간경제활동여부,1,하였다
지난1주간경제활동여부,2,하지 않았다
일가정생활우선도코드,1,일을 우선시한다
일가정생활우선도코드,2,일을 우선시하는 편이다
일가정생활우선도코드,3,일과 가정생활 둘 다 비슷하다
일가정생활우선도코드,4,가정생활을 우선시하는 편이다
일가정생활우선도코드,5,가정생활을 우선시한다
고용안정성코드,1,매우 많이 느낀다
고용안정성코드,2,느끼는 편이다
고용안정성코드,3,느끼지 않는 편이다
고용안정성코드,4,전혀 느끼지 않는다
