원본컬럼(df1),매칭컬럼(df2),유사도
자원봉사활동_재해지역주민돕기및시설복구관련시간수,자원봉사활동_재해지역주민돕기및시설복구관련시간수,100.0000
자원봉사활동_재해지역주민돕기및시설복구관련주기코드,자원봉사활동_재해지역주민돕기및시설복구관련주기,96.0000
자원봉사활동_재해지역주민돕기및시설복구관련횟수,자원봉사활동_재해지역주민돕기및시설복구관련횟수,100.0000
자원봉사활동_재해지역주민돕기시설복구관련시간수,자원봉사활동_재해지역주민돕기시설복구관련시간수,100.0000
자원봉사활동_재해지역주민돕기시설복구관련횟수,자원봉사활동_재해지역주민돕기시설복구관련횟수,100.0000
자원봉사활동_주거환경_1회평균활동시간수,자원봉사활동_주거환경_1회평균활동시간수,100.0000
자원봉사활동_주거환경_연간참여총횟수,자원봉사활동_주거환경_연간참여총횟수,100.0000
자원봉사활동_행정보조_1회평균활동시간수,자원봉사활동_행정보조_1회평균활동시간수,100.0000
자원봉사활동_행정보조_연간참여총횟수,자원봉사활동_행정보조_연간참여총횟수,100.0000
자원봉사활동_환경보전범죄예방관련시간수,자원봉사활동_환경보전범죄예방관련시간수,100.0000
자원봉사활동_환경보전범죄예방관련주기코드,자원봉사활동_환경보전범죄예방관련주기,95.0000
자원봉사활동_환경보전범죄예방관련횟수,자원봉사활동_환경보전범죄예방관련횟수,100.0000
자원봉사활동_환경보호_1회평균활동시간수,자원봉사활동_환경보호_1회평균활동시간수,100.0000
자원봉사활동_환경보호_연간참여총횟수,자원봉사활동_환경보호_연간참여총횟수,100.0000
자원봉사활동미참여사유코드,자원봉사활동미참여사유,91.6667
자원봉사활동여부,자원봉사활동여부,100.0000
자원봉사활동인지경로코드,자원봉사활동인지경로,90.9091
자원봉사활동정기성여부,자원봉사활동정기성여부,100.0000
자원봉사활동정기성주기코드,자원봉사활동정기성주기,91.6667
자원봉사활동참여사유코드,자원봉사활동참여사유,90.9091
장애구분인지여부,장애구분인지여부,100.0000
장애인견해코드,장애인견해,83.3333
장애인관련시설견해코드,장애인관련시설견해,90.0000
장애인복지사업견해코드,장애인복지사업견해,90.0000
